Song,Combination Number,A_Melody1.wav,B_Melody2.wav,C_Melody3.wav,E_Harmony1.wav,F_Harmony2.wav,H_AddVoice1.wav,I_AddVoice2.wav,J_AddVoice3.wav,L_Bass1.wav,M_Bass2.wav,O_BassDrum.wav,P_Percussion.wav,Q_Ambient1.wav,R_Ambient2.wav,S_Ambient3.wav,Output File
Row Row Row,863,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_863.wav
Row Row Row,893,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_893.wav
Row Row Row,894,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_894.wav
Row Row Row,895,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_895.wav
Row Row Row,909,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_909.wav
Row Row Row,910,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_910.wav
Row Row Row,911,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_911.wav
Row Row Row,941,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_941.wav
Row Row Row,942,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_942.wav
Row Row Row,943,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_943.wav
Row Row Row,957,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_957.wav
Row Row Row,958,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_958.wav
Row Row Row,959,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_959.wav
Row Row Row,1037,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_1037.wav
